ID,Category
0000.jpg,soccer_field
0001.jpg,railway_yard
0002.jpg,sawmill
0003.jpg,harbor
0004.jpg,fountain
0005.jpg,skyscraper
0006.jpg,dining_car
0007.jpg,dining_hall
0008.jpg,water_mill
0009.jpg,aquatic_theater
0010.jpg,badlands
0011.jpg,fort
0012.jpg,town_house
0013.jpg,skyscraper
0014.jpg,windmill
0015.jpg,flood
0016.jpg,resort
0017.jpg,village
0018.jpg,flood
0019.jpg,recreation_room
0020.jpg,glacier
0021.jpg,basement
0022.jpg,gorge
0023.jpg,living_room
0024.jpg,pavilion
0025.jpg,sawmill
0026.jpg,butchers_shop
0027.jpg,piano_store
0028.jpg,piano_store
0029.jpg,food_court
0030.jpg,office_cubicles
0031.jpg,palace
0032.jpg,rubble
0033.jpg,baseball_field
0034.jpg,dining_car
0035.jpg,fence
0036.jpg,galley
0037.jpg,orchard
0038.jpg,closet
0039.jpg,voting_booth
0040.jpg,bamboo_forest
0041.jpg,courtroom
0042.jpg,hospital
0043.jpg,amusement_park
0044.jpg,forest_road
0045.jpg,courthouse
0046.jpg,yard
0047.jpg,construction_site
0048.jpg,hallway
0049.jpg,parlor
0050.jpg,closet
0051.jpg,bus_shelter
0052.jpg,physics_laboratory
0053.jpg,fort
0054.jpg,rock_arch
0055.jpg,rainforest
0056.jpg,airplane_cabin
0057.jpg,windmill
0058.jpg,ramp
0059.jpg,tea_garden
0060.jpg,drugstore
0061.jpg,raceway
0062.jpg,manhole
0063.jpg,woodland
0064.jpg,corridor
0065.jpg,roof
0066.jpg,restaurant
0067.jpg,windmill
0068.jpg,chemistry_lab
0069.jpg,lecture_room
0070.jpg,bridge
0071.jpg,freeway
0072.jpg,campsite
0073.jpg,hayfield
0074.jpg,physics_laboratory
0075.jpg,art_school
0076.jpg,staircase
0077.jpg,mansion
0078.jpg,bookstore
0079.jpg,airplane_cabin
0080.jpg,sushi_bar
0081.jpg,computer_room
0082.jpg,mountain
0083.jpg,hayfield
0084.jpg,shopfront
0085.jpg,gorge
0086.jpg,dorm_room
0087.jpg,art_studio
0088.jpg,islet
0089.jpg,boat_deck
0090.jpg,street
0091.jpg,phone_booth
0092.jpg,piano_store
0093.jpg,pasture
0094.jpg,sushi_bar
0095.jpg,food_court
0096.jpg,water_mill
0097.jpg,bamboo_forest
0098.jpg,golf_course
0099.jpg,parlor
0100.jpg,basement
0101.jpg,resort
0102.jpg,football_field
0103.jpg,restaurant
0104.jpg,manhole
0105.jpg,swamp
0106.jpg,forest_road
0107.jpg,hill
0108.jpg,cliff
0109.jpg,office_cubicles
